Title,Year,Metacritic,"Sequel, remake, or otherwise based on well-established IP (NOT THE SAME AS ADAPTED)",Subjective Field: Acclaimed Filmmaker,Majority Black Cast / Queer Themes (test to see if this field accurately captures snubs such as If Beale Street Could Talk or Carol),Foreign Language,SpiritNom,Spirit,AstraNom,Astra,AstraCnt,AstraDirNom,AstraDirWin,SAGNom,SAG,DGANom,DGA,WGANom,WGA,PGANom,PGA,CCNom,CCTotalNom,CC,NBRNom,NBR,AFI,GGDirectorNom,GGDirector,GGDramaNom,GGDrama,GGComedyNom,GGComedy,BAFTANom,BAFTA,BAFTACnt,LAFCA,NYFCC,NSFC,Palme dOr,TIFF,Golden Lion,Best Picture Nominee,OscarNoms,DirectingNom,ActingNom,ScreenplayNom,EditingNom,Win
A Chiara,2021,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Novice,2021,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zola,2021,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Trial of the Chicago Seven,2020,76,0,1,0,0,0,0,1,0,4,0,0,1,1,1,0,1,0,1,0,1,6,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,6,0,1,1,1,0
Da 5 Bloods,2020,82,0,1,1,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,1,6,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ma Rainey's Black Bottom,2020,87,0,0,1,0,1,0,0,0,7,0,0,1,0,0,0,1,0,1,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Minari,2020,89,0,0,0,1,1,0,1,0,6,1,0,1,0,1,0,0,0,1,0,1,10,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,1,1,1,0,0
One Night in Miami…,2020,83,0,0,1,0,0,0,1,0,8,1,0,1,0,0,0,1,0,1,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nomadland,2020,87,0,0,0,0,1,1,1,0,6,1,1,0,0,1,1,0,0,1,1,1,6,1,1,0,1,1,1,1,1,0,0,1,1,7,0,0,1,0,1,1,1,6,1,1,1,1,1
Promising Young Woman,2020,72,0,0,0,0,0,0,1,1,9,1,0,0,0,1,0,1,1,1,0,1,6,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,5,1,1,1,1,0
Mank,2020,79,0,1,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,1,12,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,10,1,1,0,0,0
Judas and the Black Messiah,2020,84,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,1,1,0,0
Palm Springs,2020,83,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
